last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_stolen_base_pct,xslg,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,n_bolts,sprint_speed,
Vazquez, Christian,543877,2020,29,173,49,33,9,0,7,43,22.8,8.5,.283,.457,.344,0.801,,.358,.289,88.4,14.4,33.1,6,4.6,65,19.2,31.3,30.2,69.8,83,482,207,,25.0,
Wong, Kolten,543939,2020,29,181,48,41,4,2,1,30,14.4,9.6,.265,.326,.350,0.676,,.306,.324,86.5,10.8,31.2,1,0.6,65.3,10.6,24.4,28.7,67.6,92,528,218,,26.6,
Gregorius, Didi,544369,2020,30,215,61,39,10,2,10,28,11.8,6.3,.284,.488,.339,0.827,,.396,.322,83.8,17.8,35.3,8,4.2,74,13.2,33.2,31.3,66,151,561,190,,27.1,
Grichuk, Randal,545341,2020,28,216,59,38,9,0,12,49,21.2,5.6,.273,.481,.312,0.793,,.468,.312,88.9,12.6,27.2,19,11.2,71.3,17.2,33.9,34.2,65.8,118,463,265,,27.7,
Stassi, Max,545358,2020,29,90,25,16,2,0,7,21,20,10.5,.278,.533,.352,0.885,,.567,.354,91.6,15,31.9,8,11.1,67.7,20,23.5,47.5,52.5,35,226,100,,26.5,
Trout, Mike,545361,2020,28,199,56,28,9,2,17,56,23.2,14.5,.281,.603,.390,0.993,,.612,.405,93.7,23.1,36.1,22,15,57.3,13.9,14.6,43.1,56.9,66,688,261,5,28.9,
Ruiz, Rio,547004,2020,26,185,41,21,11,0,9,46,22.5,8.3,.222,.427,.286,0.713,,.356,.277,87.9,10.5,27.7,12,8.5,77.4,19.7,28.3,47,53,139,431,218,,25.2,
Wolters, Tony,547172,2020,28,100,23,19,4,0,0,30,27.5,5.5,.230,.270,.280,0.550,,.346,.313,84.1,8.2,40.3,0,0,59,15.3,27.2,54.5,45.5,61,254,93,,26.0,
Harper, Bryce,547180,2020,27,190,51,27,9,2,13,43,17.6,20.1,.268,.542,.420,0.962,,.658,.451,92.5,16,33.3,26,17.3,73.4,17.9,28.3,46.4,52.4,176,544,251,,27.8,
Perez, Roberto,547379,2020,31,97,16,13,2,0,1,38,34.5,10,.165,.216,.264,0.480,,.281,.293,86,-2.5,23.7,2,3.4,53.8,26.4,16.4,40.5,54.1,33,250,186,,24.9,
Abreu, Jose,547989,2020,33,240,76,42,15,0,19,59,22.5,6.9,.317,.617,.370,0.987,,.587,.357,92.9,10.9,37.4,26,14.3,68.6,19.7,32.3,47.8,52.2,104,566,344,,26.8,
Narvaez, Omar,553882,2020,28,108,19,13,4,0,2,39,31,12.7,.176,.269,.294,0.563,,.294,.291,81.6,18.7,36.2,5,7.2,68.8,22.9,33,40.6,58.4,80,297,170,,24.3,
Suarez, Eugenio,553993,2020,28,198,40,17,8,0,15,67,29,13,.202,.470,.312,0.782,,.472,.325,89.1,17.9,29.5,19,14.4,63.4,21.7,23.9,53.4,46.6,87,587,314,,25.9,
