name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Gallagher, Cam",595956,2023,30,143,149,18,12,6,0,0,46,4,30.9,2.7,0.126,0.168,0.154,0.322,7,0,0,82.5,24.5,2.0,4.86,25.4,114.0,CLE,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Hedges, Austin",595978,2023,30,185,212,34,28,5,0,1,47,11,22.2,5.2,0.184,0.227,0.234,0.461,16,0,1,87.2,29.1,0.7,5.03,24.5,140.0,TEX,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Lindor, Francisco",596019,2023,29,602,687,153,87,33,2,31,137,66,19.9,9.6,0.254,0.47,0.336,0.806,98,4,31,91.2,35.8,10.4,4.35,28.2,121.0,NYM,NLE,NL,True,True,False,False,False,True,True,True,False,True,True,True,True
"Odor, Rougned",596059,2023,29,138,157,28,15,9,0,4,37,17,23.6,10.8,0.203,0.355,0.299,0.654,18,1,2,90.1,38.6,6.9,4.41,26.9,135.0,SD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Slater, Austin",596103,2023,30,185,207,50,36,9,0,5,58,20,28.0,9.7,0.27,0.4,0.348,0.748,20,2,2,91.1,34.6,11.8,4.51,27.7,137.0,SF,NLW,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Story, Trevor",596115,2023,30,158,168,32,20,9,0,3,55,9,32.7,5.4,0.203,0.316,0.25,0.566,14,3,10,88.5,42.7,9.7,4.32,28.8,111.0,BOS,ALE,AL,False,False,False,False,False,False,False,False,False,True,True,False,False
"Stubbs, Garrett",596117,2023,30,113,125,23,17,4,1,1,29,9,23.2,7.2,0.204,0.283,0.274,0.557,12,0,2,83.4,18.8,0.0,4.36,28.1,143.0,PHI,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Vogelbach, Daniel",596129,2023,30,275,319,64,43,8,0,13,81,42,25.4,13.2,0.233,0.404,0.339,0.743,48,0,0,91.7,31.4,9.3,4.93,23.6,121.0,NYM,NLE,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Sanchez, Gary",596142,2023,30,240,267,52,24,9,0,19,67,21,25.1,7.9,0.217,0.492,0.288,0.78,47,0,0,90.1,27.4,15.4,4.89,24.9,135.0,SD,NLW,NL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Kepler, Max",596146,2023,30,438,491,114,66,22,2,24,106,45,21.6,9.2,0.26,0.484,0.332,0.816,66,1,1,91.9,35.7,12.2,4.35,27.4,142.0,MIN,ALC,AL,True,True,True,False,False,True,True,False,False,False,False,False,False
"Choi, Ji Man",596847,2023,32,104,117,17,6,5,0,6,35,10,29.9,8.5,0.163,0.385,0.239,0.624,13,0,0,93.4,33.8,19.7,4.63,24.9,135.0,SD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Bradley Jr., Jackie",598265,2023,33,105,113,14,8,5,0,1,29,5,25.7,4.4,0.133,0.21,0.188,0.398,6,0,0,88.1,23.4,7.8,4.39,27.1,118.0,KC,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Motter, Taylor",600301,2023,33,76,82,13,10,3,0,0,31,5,37.8,6.1,0.171,0.211,0.232,0.443,2,0,0,87.0,37.8,8.9,4.71,26.5,138.0,STL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"La Stella, Tommy",600303,2023,34,21,24,4,3,1,0,0,5,3,20.8,12.5,0.19,0.238,0.292,0.53,2,0,0,86.6,25.0,0.0,,24.1,136.0,SEA,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Candelario, Jeimer",600869,2023,29,505,576,127,63,39,3,22,127,53,22.0,9.2,0.251,0.471,0.336,0.807,70,1,8,88.3,36.9,7.9,4.45,27.5,112.0,CHC,NLC,NL,True,True,False,False,False,True,True,False,False,True,False,False,False
"Daza, Yonathan",602074,2023,29,74,80,20,14,6,0,0,13,3,16.3,3.8,0.27,0.351,0.304,0.655,7,0,1,85.0,30.2,1.6,4.44,27.5,115.0,COL,NLW,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Urias, Ramon",602104,2023,29,360,396,95,66,22,3,4,101,27,25.5,6.8,0.264,0.375,0.328,0.703,42,1,3,89.2,30.4,6.9,4.62,26.7,110.0,BAL,ALE,AL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Ahmed, Nick",605113,2023,33,198,210,42,29,10,1,2,52,12,24.8,5.7,0.212,0.303,0.257,0.56,17,1,5,85.2,32.9,2.7,4.44,28.1,109.0,ARI,NLW,NL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Anderson, Brian",605119,2023,30,318,361,72,48,12,3,9,108,36,29.9,10.0,0.226,0.368,0.31,0.678,40,3,1,87.6,34.3,10.3,4.64,26.3,158.0,MIL,NLC,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Barnes, Austin",605131,2023,33,178,200,32,25,5,0,2,43,17,21.5,8.5,0.18,0.242,0.256,0.498,11,1,2,84.8,28.3,2.9,4.68,26.5,119.0,LAD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Bell, Josh",605137,2023,30,547,617,135,85,28,0,22,134,63,21.7,10.2,0.247,0.419,0.325,0.744,74,1,0,90.1,31.3,10.1,4.69,25.9,146.0,MIA,NLE,NL,True,True,False,False,False,True,True,False,False,False,False,False,False
"Betts, Mookie",605141,2023,30,584,693,179,99,40,1,39,107,96,15.4,13.9,0.307,0.579,0.408,0.987,107,3,14,92.4,42.5,12.4,4.48,27.2,119.0,LAD,NLW,NL,True,True,True,True,True,True,True,True,False,True,True,False,False
"Caratini, Victor",605170,2023,29,201,226,52,41,4,0,7,45,19,19.9,8.4,0.259,0.383,0.327,0.71,25,1,1,91.3,23.3,5.0,4.83,25.0,158.0,MIL,NLC,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Davis, J.D.",605204,2023,30,480,546,119,77,23,1,18,152,52,27.8,9.5,0.248,0.412,0.325,0.737,69,0,1,91.1,33.5,9.6,4.8,25.7,137.0,SF,NLW,NL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Martini, Nick",605361,2023,33,72,79,19,9,3,1,6,15,5,19.0,6.3,0.264,0.583,0.329,0.912,16,0,0,91.0,45.6,10.5,,27.2,113.0,CIN,NLC,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Castro, Harold",605612,2023,29,258,270,65,51,13,0,1,66,9,24.4,3.3,0.252,0.314,0.275,0.589,31,0,1,86.2,38.5,3.1,4.45,26.5,115.0,COL,NLW,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Arcia, Orlando",606115,2023,28,488,533,129,87,25,0,17,102,39,19.1,7.3,0.264,0.42,0.321,0.741,65,0,1,88.2,30.6,6.9,4.67,25.9,144.0,ATL,NLE,NL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Tapia, Raimel",606132,2023,29,148,169,35,27,4,1,3,40,17,23.7,10.1,0.236,0.338,0.317,0.655,13,2,10,85.4,31.8,6.4,4.26,28.6,139.0,TB,ALE,AL,True,False,False,False,False,False,False,False,False,True,True,False,False
"Hernandez, Teoscar",606192,2023,30,625,678,161,104,29,2,26,211,38,31.1,5.6,0.258,0.435,0.305,0.74,93,2,7,91.3,35.2,13.8,4.33,28.6,136.0,SEA,ALW,AL,True,True,False,False,False,True,True,False,False,True,False,False,False
"Marte, Ketel",606466,2023,29,569,650,157,97,26,9,25,109,71,16.8,10.9,0.276,0.485,0.358,0.843,82,2,8,91.1,30.8,8.0,4.37,27.6,109.0,ARI,NLW,NL,True,True,True,False,False,True,True,False,False,True,False,False,False
"Haase, Eric",606992,2023,30,274,293,55,42,8,1,4,81,17,27.6,5.8,0.201,0.281,0.247,0.528,26,1,4,87.1,29.2,4.6,4.53,28.0,114.0,CLE,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Nimmo, Brandon",607043,2023,30,592,682,162,102,30,6,24,146,74,21.4,10.9,0.274,0.466,0.363,0.829,68,3,3,91.8,33.5,9.5,4.27,28.0,121.0,NYM,NLE,NL,True,True,True,False,False,True,True,False,False,False,False,False,False
"Peterson, Jace",607054,2023,33,374,430,79,59,10,4,6,101,47,23.5,10.9,0.211,0.307,0.304,0.611,37,2,15,85.7,33.5,4.7,4.33,28.0,109.0,ARI,NLW,NL,False,False,False,False,False,False,False,False,False,True,True,True,False
"Turner, Trea",607208,2023,30,639,691,170,104,35,5,26,150,45,21.7,6.5,0.266,0.459,0.32,0.779,76,0,30,89.9,36.1,8.4,4.14,30.3,143.0,PHI,NLE,NL,True,True,True,False,False,True,True,False,False,True,True,True,True
"Beaty, Matt",607461,2023,30,61,72,14,10,4,0,0,14,6,19.4,8.3,0.23,0.295,0.347,0.642,4,0,0,82.3,34.0,0.0,4.65,25.5,118.0,KC,ALC,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Pillar, Kevin",607680,2023,34,197,206,45,26,10,0,9,50,6,24.3,2.9,0.228,0.416,0.248,0.664,32,1,4,87.9,39.3,8.0,4.42,28.2,144.0,ATL,NLE,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Stallings, Jacob",607732,2023,33,241,276,46,29,14,0,3,67,27,24.3,9.8,0.191,0.286,0.278,0.564,20,0,0,89.7,28.5,5.6,5.07,23.6,146.0,MIA,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ramirez, Jose",608070,2023,30,611,691,172,107,36,5,24,73,73,10.6,10.6,0.282,0.475,0.356,0.831,80,6,28,90.0,36.8,7.0,4.38,27.8,114.0,CLE,ALC,AL,True,True,True,True,False,True,True,False,False,True,True,True,True
"Bregman, Alex",608324,2023,29,622,724,163,106,28,4,25,87,92,12.0,12.7,0.262,0.441,0.363,0.804,98,1,3,88.6,35.8,5.4,4.57,26.3,117.0,HOU,ALW,AL,True,True,True,False,False,True,True,False,False,False,False,False,False
"Gallo, Joey",608336,2023,29,282,332,50,19,9,1,21,142,48,42.8,14.5,0.177,0.44,0.301,0.741,40,1,1,93.0,28.6,19.3,4.69,26.5,142.0,MIN,ALC,AL,False,False,False,False,False,True,True,False,False,False,False,False,False
"Kelly, Carson",608348,2023,28,136,151,28,21,5,0,2,40,14,26.5,9.3,0.206,0.287,0.278,0.565,13,0,1,86.8,27.8,2.1,4.79,25.7,116.0,DET,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Seager, Corey",608369,2023,29,477,536,156,81,42,0,33,88,49,16.4,9.1,0.327,0.623,0.39,1.013,96,1,2,93.3,38.0,15.2,4.67,26.2,140.0,TEX,ALW,AL,True,True,True,True,True,True,True,True,False,False,False,False,False
"Winker, Jesse",608385,2023,29,166,197,33,27,5,0,1,51,26,25.9,13.2,0.199,0.247,0.32,0.567,23,0,0,86.8,33.6,4.3,5.02,23.5,158.0,MIL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Murphy, Tom",608596,2023,32,145,159,42,22,12,0,8,44,10,27.7,6.3,0.29,0.538,0.335,0.873,17,0,0,89.5,40.8,14.6,4.76,26.1,136.0,SEA,ALW,AL,True,True,True,True,False,False,False,False,False,False,False,False,False
"Jankowski, Travis",608671,2023,32,247,287,65,51,12,1,1,42,35,14.6,12.2,0.263,0.332,0.357,0.689,30,1,19,85.4,28.8,0.0,4.23,28.9,140.0,TEX,ALW,AL,True,True,True,False,False,False,False,False,False,True,True,True,False
"Refsnyder, Rob",608701,2023,32,202,243,50,39,9,1,1,47,33,19.3,13.6,0.248,0.317,0.365,0.682,28,2,7,87.7,42.0,3.8,4.47,27.1,111.0,BOS,ALE,AL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Meneses, Joey",608841,2023,31,611,657,168,118,36,1,13,130,38,19.8,5.8,0.275,0.401,0.321,0.722,89,0,0,89.4,32.9,5.4,4.77,25.6,120.0,WSH,NLE,NL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Andujar, Miguel",609280,2023,28,84,90,21,10,7,0,4,13,6,14.4,6.7,0.25,0.476,0.3,0.776,18,0,2,89.2,28.2,7.0,4.5,27.7,134.0,PIT,NLC,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Vosler, Jason",613564,2023,29,62,65,10,4,2,1,3,25,3,38.5,4.6,0.161,0.371,0.2,0.571,10,0,0,86.0,29.7,8.1,,25.9,113.0,CIN,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Cordero, Franchy",614173,2023,28,69,71,13,5,2,0,6,25,2,35.2,2.8,0.188,0.478,0.211,0.689,13,0,0,91.4,31.8,15.9,4.44,27.4,147.0,NYY,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Reyes, Franmil",614177,2023,27,59,65,11,9,0,0,2,24,4,36.9,6.2,0.186,0.288,0.231,0.519,7,0,0,93.0,27.0,16.2,4.77,26.5,118.0,KC,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Torrens, Luis",620443,2023,27,28,30,7,4,3,0,0,9,1,30.0,3.3,0.25,0.357,0.3,0.657,4,0,0,86.9,47.4,0.0,,26.3,136.0,SEA,ALW,AL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Swanson, Dansby",621020,2023,29,565,638,138,88,25,3,22,154,66,24.1,10.3,0.244,0.416,0.328,0.744,80,1,9,89.3,35.1,10.9,4.29,28.4,112.0,CHC,NLC,NL,True,True,False,False,False,True,True,False,False,True,False,False,False
"Newman, Kevin",621028,2023,29,225,253,57,38,16,0,3,34,17,13.4,6.7,0.253,0.364,0.311,0.675,28,1,8,86.5,35.4,2.5,4.42,28.0,113.0,CIN,NLC,NL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Taylor, Chris",621035,2023,32,338,384,80,49,15,1,15,125,41,32.6,10.7,0.237,0.42,0.326,0.746,56,3,16,86.2,38.8,9.8,4.34,28.3,119.0,LAD,NLW,NL,True,False,False,False,False,True,False,False,False,True,True,True,False
"Correa, Carlos",621043,2023,28,514,580,118,69,29,2,18,131,59,22.6,10.2,0.23,0.399,0.312,0.711,65,0,0,90.4,31.1,9.6,4.61,26.6,142.0,MIN,ALC,AL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Phillips, Brett",621433,2023,29,63,71,11,7,1,0,3,36,8,50.7,11.3,0.175,0.333,0.268,0.601,6,1,3,86.7,29.6,7.4,,28.0,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Taylor, Tyrone",621438,2023,29,231,243,54,26,17,1,10,55,8,22.6,3.3,0.234,0.446,0.267,0.713,35,0,9,87.7,33.9,6.8,4.4,28.8,158.0,MIL,NLC,NL,True,False,False,False,False,True,False,False,False,True,False,False,False
"Buxton, Byron",621439,2023,29,304,347,63,28,17,1,17,109,35,31.4,10.1,0.207,0.438,0.294,0.732,42,0,9,91.5,33.2,14.6,4.17,29.3,142.0,MIN,ALC,AL,False,False,False,False,False,True,False,False,False,True,False,False,False
"Rios, Edwin",621458,2023,29,28,34,2,0,1,0,1,16,5,47.1,14.7,0.071,0.214,0.235,0.449,2,0,0,89.5,50.0,8.3,,,112.0,CHC,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Stewart, DJ",621466,2023,29,160,185,39,19,9,0,11,56,15,30.3,8.1,0.244,0.506,0.333,0.839,26,1,1,89.9,34.0,12.3,4.54,26.3,121.0,NYM,NLE,NL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Ward, Taylor",621493,2023,29,356,409,90,58,18,0,14,80,39,19.6,9.5,0.253,0.421,0.335,0.756,47,2,4,90.7,34.0,8.2,4.49,28.0,108.0,LAA,ALW,AL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Nido, Tomas",621512,2023,29,56,61,7,7,0,0,0,18,2,29.5,3.3,0.125,0.125,0.153,0.278,1,0,0,85.0,26.8,0.0,4.9,24.8,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Bemboom, Anthony",621532,2023,33,11,13,2,2,0,0,0,2,2,15.4,15.4,0.182,0.182,0.308,0.49,0,0,0,79.9,0.0,0.0,,25.8,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Remillard, Zach",621545,2023,29,147,160,37,29,7,0,1,48,8,30.0,5.0,0.252,0.32,0.295,0.615,18,3,4,85.7,23.3,1.0,4.47,28.4,145.0,CWS,ALC,AL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Wisdom, Patrick",621550,2023,31,268,302,55,23,8,1,23,111,30,36.8,9.9,0.205,0.5,0.289,0.789,46,2,4,92.7,33.3,20.1,4.48,27.7,112.0,CHC,NLC,NL,False,False,False,False,False,True,True,False,False,False,False,False,False
"Wendle, Joey",621563,2023,33,297,318,63,42,16,3,2,67,13,21.1,4.1,0.212,0.306,0.248,0.554,20,1,7,89.2,31.8,3.4,4.28,27.8,146.0,MIA,NLE,NL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Olson, Matt",621566,2023,29,608,720,172,88,27,3,54,167,104,23.2,14.4,0.283,0.604,0.389,0.993,139,0,1,93.7,31.0,16.4,4.64,26.2,144.0,ATL,NLE,NL,True,True,True,True,False,True,True,True,True,False,False,False,False
"Duffy, Matt",622110,2023,32,191,209,48,38,8,0,2,39,12,18.7,5.7,0.251,0.325,0.306,0.631,16,0,1,86.4,35.7,2.6,4.6,27.0,118.0,KC,ALC,AL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Margot, Manuel",622534,2023,28,311,336,82,56,21,1,4,55,18,16.4,5.4,0.264,0.376,0.31,0.686,38,3,9,87.9,28.6,3.9,4.31,28.3,139.0,TB,ALE,AL,True,True,True,False,False,False,False,False,False,True,False,False,False
"Reyes, Pablo",622569,2023,29,167,185,48,37,9,0,2,21,14,11.4,7.6,0.287,0.377,0.339,0.716,20,2,7,88.1,34.0,4.0,4.38,27.9,111.0,BOS,ALE,AL,True,True,True,True,False,False,False,False,False,True,False,False,False
"Camargo, Johan",622666,2023,29,18,20,4,4,0,0,0,4,1,20.0,5.0,0.222,0.222,0.3,0.522,2,0,0,90.0,42.9,0.0,,24.2,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False
"Mateo, Jorge",622761,2023,28,318,350,69,46,14,2,7,82,22,23.4,6.3,0.217,0.34,0.267,0.607,34,5,32,88.4,28.3,5.3,4.2,30.1,110.0,BAL,ALE,AL,False,False,False,False,False,False,False,False,False,True,True,True,True
"Heineman, Tyler",623168,2023,32,38,47,9,7,1,1,0,8,8,17.0,17.0,0.237,0.316,0.383,0.699,3,0,1,82.1,36.7,0.0,,25.8,141.0,TOR,ALE,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Velazquez, Andrew",623205,2023,28,81,94,14,9,3,0,2,30,10,31.9,10.6,0.173,0.284,0.264,0.548,3,3,13,87.7,27.8,3.7,,28.4,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,True,True,False,False
"Lester, Josh",623507,2023,28,22,23,4,4,0,0,0,7,1,30.4,4.3,0.182,0.182,0.217,0.399,4,0,0,85.9,26.7,0.0,,25.9,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ramirez, Harold",623912,2023,28,400,434,125,92,19,2,12,79,22,18.2,5.1,0.313,0.46,0.353,0.813,68,3,5,89.1,29.4,4.6,4.36,27.8,139.0,TB,ALE,AL,True,True,True,True,True,True,False,False,False,True,False,False,False
"Santander, Anthony",623993,2023,28,591,656,152,82,41,1,28,152,55,23.2,8.4,0.257,0.472,0.325,0.797,95,1,5,90.6,33.0,10.2,4.66,26.7,110.0,BAL,ALE,AL,True,True,False,False,False,True,True,False,False,True,False,False,False
"Alonso, Pete",624413,2023,28,568,658,123,54,21,2,46,151,65,22.9,9.9,0.217,0.504,0.318,0.822,118,1,4,89.5,32.3,14.7,4.64,26.0,121.0,NYM,NLE,NL,False,False,False,False,False,True,True,True,True,False,False,False,False
"Arroyo, Christian",624414,2023,28,195,206,47,28,16,0,3,45,7,21.8,3.4,0.241,0.369,0.268,0.637,24,3,1,86.3,35.9,4.6,4.43,27.7,111.0,BOS,ALE,AL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Biggio, Cavan",624415,2023,28,289,338,68,47,12,0,9,88,40,26.0,11.8,0.235,0.37,0.34,0.71,40,2,5,88.4,41.4,7.4,4.4,28.3,141.0,TOR,ALE,AL,True,False,False,False,False,False,False,False,False,True,False,False,False
"Conforto, Michael",624424,2023,30,406,470,97,68,14,0,15,106,53,22.6,11.3,0.239,0.384,0.334,0.718,58,0,4,88.9,31.9,7.9,4.62,26.1,137.0,SF,NLW,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Frazier, Adam",624428,2023,31,412,455,99,63,21,2,13,68,32,14.9,7.0,0.24,0.396,0.3,0.696,60,4,11,85.7,40.9,3.1,4.5,26.5,110.0,BAL,ALE,AL,True,True,False,False,False,True,False,False,False,True,True,False,False
"Trevino, Jose",624431,2023,30,157,168,33,25,4,0,4,22,8,13.1,4.8,0.21,0.312,0.257,0.569,15,0,0,85.8,30.9,2.9,4.86,24.4,147.0,NYY,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Gordon, Nick",624503,2023,27,91,93,16,8,5,1,2,11,1,11.8,1.1,0.176,0.319,0.185,0.504,7,0,0,89.1,34.6,4.9,4.43,27.3,142.0,MIN,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"McGuire, Reese",624512,2023,28,187,206,50,36,12,1,1,53,11,25.7,5.3,0.267,0.358,0.31,0.668,16,1,2,84.0,33.6,2.9,4.52,25.9,111.0,BOS,ALE,AL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Soler, Jorge",624585,2023,31,504,580,126,66,24,0,36,141,66,24.3,11.4,0.25,0.512,0.341,0.853,75,0,1,91.3,36.5,15.0,4.76,26.6,146.0,MIA,NLE,NL,True,True,False,False,False,True,True,True,False,False,False,False,False
"Sosa, Edmundo",624641,2023,27,279,300,70,43,15,2,10,74,8,24.7,2.7,0.251,0.427,0.293,0.72,30,2,4,86.8,34.1,6.7,4.37,29.2,143.0,PHI,NLE,NL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Ibanez, Andy",628451,2023,30,356,383,94,58,23,2,11,69,24,18.0,6.3,0.264,0.433,0.312,0.745,41,0,1,89.1,33.2,9.0,4.43,27.2,116.0,DET,ALC,AL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Cronenworth, Jake",630105,2023,29,458,522,105,64,24,7,10,97,46,18.6,8.8,0.229,0.378,0.312,0.69,48,1,6,87.4,35.7,4.4,4.32,28.3,135.0,SD,NLW,NL,True,False,False,False,False,True,False,False,False,True,False,False,False
"Frazier, Clint",640449,2023,28,66,76,13,11,1,1,0,23,10,30.3,13.2,0.197,0.242,0.303,0.545,3,2,4,82.5,37.2,0.0,4.51,27.7,145.0,CWS,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Meadows, Austin",640457,2023,28,21,21,5,4,1,0,0,3,0,14.3,0.0,0.238,0.286,0.238,0.524,2,0,0,90.5,22.2,0.0,,26.0,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False
"Mercado, Oscar",640458,2023,28,31,32,9,6,3,0,0,4,1,12.5,3.1,0.29,0.387,0.313,0.7,5,1,2,85.5,29.6,0.0,,28.2,138.0,STL,NLC,NL,True,True,True,True,False,False,False,False,False,False,False,False,False
"Azocar, Jose",640492,2023,27,91,102,21,13,6,0,2,24,4,23.5,3.9,0.231,0.363,0.278,0.641,9,2,8,87.0,31.9,6.9,4.33,29.7,135.0,SD,NLW,NL,True,False,False,False,False,False,False,False,False,True,False,False,False
"Anderson, Tim",641313,2023,30,493,524,121,100,18,2,1,122,26,23.3,5.0,0.245,0.296,0.286,0.582,25,2,13,87.8,32.4,2.9,4.52,27.2,145.0,CWS,ALC,AL,True,True,False,False,False,False,False,False,False,True,True,False,False
"Bauers, Jake",641343,2023,27,242,272,49,22,15,0,12,95,27,34.9,9.9,0.202,0.413,0.279,0.692,30,2,3,89.1,36.0,18.7,4.43,27.2,147.0,NYY,ALE,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Bellinger, Cody",641355,2023,27,499,556,153,97,29,1,26,87,40,15.6,7.2,0.307,0.525,0.356,0.881,97,6,20,87.9,38.0,6.1,4.14,28.3,112.0,CHC,NLC,NL,True,True,True,True,True,True,True,False,False,True,True,True,True
"Calhoun, Willie",641432,2023,28,134,149,32,20,7,0,5,20,14,13.4,9.4,0.239,0.403,0.309,0.712,16,0,0,90.7,35.7,3.5,4.82,25.0,147.0,NYY,ALE,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Crawford, J.P.",641487,2023,28,534,638,142,88,35,0,19,125,94,19.6,14.7,0.266,0.438,0.38,0.818,65,0,2,88.3,35.3,4.8,4.55,26.7,136.0,SEA,ALW,AL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Davis, Jonathan",641505,2023,31,90,104,22,15,4,1,2,29,7,27.9,6.7,0.244,0.378,0.307,0.685,10,2,1,84.4,35.4,4.6,4.26,28.9,146.0,MIA,NLE,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Delay, Jason",641511,2023,28,167,187,42,29,11,1,1,44,14,23.5,7.5,0.251,0.347,0.319,0.666,18,0,0,83.8,34.9,3.2,4.65,26.5,134.0,PIT,NLC,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Dixon, Brandon",641525,2023,31,79,86,16,10,4,0,2,31,1,36.0,1.2,0.203,0.329,0.244,0.573,9,0,1,87.0,32.0,8.0,4.33,28.4,135.0,SD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dozier, Hunter",641531,2023,31,82,91,15,10,2,1,2,29,8,31.9,8.8,0.183,0.305,0.253,0.558,9,0,2,84.4,29.6,3.7,4.48,28.3,118.0,KC,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Fraley, Jake",641584,2023,28,336,380,86,53,18,0,15,71,37,18.7,9.7,0.256,0.443,0.339,0.782,65,5,21,84.5,38.0,6.0,4.24,28.0,113.0,CIN,NLC,NL,True,True,False,False,False,True,False,False,False,True,True,True,True
"Garver, Mitch",641598,2023,32,296,344,80,50,11,0,19,82,44,23.8,12.8,0.27,0.5,0.37,0.87,50,0,0,90.0,35.5,12.6,4.76,25.6,140.0,TEX,ALW,AL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Guillorme, Luis",641645,2023,28,107,120,24,16,6,1,1,28,10,23.3,8.3,0.224,0.327,0.288,0.615,9,0,0,85.9,31.7,1.2,4.48,25.4,121.0,NYM,NLE,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Hampson, Garrett",641658,2023,28,221,252,61,45,12,1,3,67,23,26.6,9.1,0.276,0.38,0.349,0.729,23,0,5,86.6,37.1,3.1,4.21,29.8,146.0,MIA,NLE,NL,True,True,True,False,False,False,False,False,False,True,False,False,False
"Heim, Jonah",641680,2023,28,457,501,118,72,28,0,18,96,40,19.2,8.0,0.258,0.438,0.317,0.755,95,0,2,89.2,34.3,8.0,4.77,25.7,140.0,TEX,ALW,AL,True,True,False,False,False,True,False,False,False,False,False,False,False
