"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Espino, Paolo","502179","2021","34","30","33","5","5","0","0","0","15","0",".167",".167",".167","0.334","0","2",".185",".233",".185",,,,"86.9","3.3",33.3,"1",5.6,,,"23.1"
"Reddick, Josh","502210","2021","34","151","158","39","26","11","0","2","31","6",".258",".371",".285","0.656","21","15",".262",".367",".289",,,,"85.1","16.8",40.5,"3",2.5,"-3",,"26.3"
"Freeman, Mike","502273","2021","33","59","65","11","11","0","0","0","20","5",".186",".186",".262","0.448","3","6",".204",".236",".277",,,,"80.1","11.1",30.8,"0",0,,,"27.7"
"Dyson, Jarrod","502481","2021","36","135","149","28","19","7","2","0","33","10",".207",".289",".260","0.549","10","17",".220",".285",".271",,,,"83.5","4.1",30.2,"1",0.9,"6","15","27.9"
"Anderson, Chase","502624","2021","33","11","14","0","0","0","0","0","6","0",".000",".000",".000","0.000","0","0",".136",".153",".136",,,,"87.8","9.5",25,"0",0,,,
"Goldschmidt, Paul","502671","2021","33","603","679","177","108","36","2","31","136","67",".294",".514",".365","0.879","99","102",".293",".575",".366",,,,"92.6","17.1",36.9,"64",13.6,,,"26.2"
"Gonzalez, Marwin","503556","2021","32","276","307","55","36","14","0","5","78","20",".199",".304",".275","0.579","28","30",".218",".334",".292",,,,"87.9","8.9",31.5,"9",4.5,"0",,"26.8"
"Darvish, Yu","506433","2021","34","53","55","5","3","2","0","0","25","0",".094",".132",".111","0.243","1","2",".142",".179",".158",,,,"85","-11.9",24.1,"0",0,,,"22.4"
"León, Sandy","506702","2021","32","202","220","37","28","5","0","4","65","12",".183",".267",".237","0.504","14","15",".170",".258",".225",,,,"87.3","20",31.4,"3",2.1,,,"23.7"
"Sanchez, Adrián","506703","2021","30","35","38","9","7","2","0","0","4","3",".257",".314",".316","0.630","1","5",".234",".278",".294",,,,"81","12.2",29,"0",0,,,"25.8"
